,district_id,state,locale,pp_total_raw,poverty_rate,Income,avg_black_hispanic,avg_reduced_lunch,avg_spent_per_pupil
28,7305,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
33,2167,Washington,Suburb,"[14000, 16000[",9.8,81083.0,0.1,0.1,15000.0
34,6577,Illinois,Suburb,"[10000, 12000[",11.5,73753.0,0.1,0.1,11000.0
35,4602,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.7,0.30000000000000004,21000.0
36,4936,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
37,4520,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
38,7785,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
39,3668,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
40,7970,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
41,5231,Utah,Town,"[10000, 12000[",8.9,83670.0,0.1,0.5,11000.0
42,9589,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.30000000000000004,0.30000000000000004,21000.0
44,8433,New Jersey,Suburb,"[18000, 20000[",9.2,85239.0,0.1,0.1,19000.0
45,2165,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.30000000000000004,0.30000000000000004,7000.0
47,2074,California,Suburb,"[12000, 14000[",11.8,77358.0,0.5,0.30000000000000004,13000.0
48,1142,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
49,7964,District Of Columbia,City,"[18000, 20000[",13.5,88311.0,0.9,0.7,19000.0
50,8784,Illinois,Suburb,"[10000, 12000[",11.5,73753.0,0.7,0.7,11000.0
51,7798,New York,Rural,"[22000, 24000[",13.0,68304.0,0.1,0.30000000000000004,23000.0
52,3550,Minnesota,Suburb,"[14000, 16000[",9.0,78461.0,0.5,0.7,15000.0
53,1444,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.5,21000.0
54,2601,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.7,0.5,13000.0
55,7660,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
56,9899,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.30000000000000004,0.1,13000.0
57,1742,Missouri,Suburb,"[8000, 10000[",12.9,61901.0,0.1,0.30000000000000004,9000.0
58,4629,Illinois,Suburb,"[16000, 18000[",11.5,73753.0,0.1,0.30000000000000004,17000.0
59,4569,Connecticut,City,"[20000, 22000[",10.0,79043.0,0.7,0.5,21000.0
60,4949,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
61,6250,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
62,8425,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
63,6418,District Of Columbia,City,"[18000, 20000[",13.5,88311.0,0.5,0.7,19000.0
64,1558,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
65,3222,Indiana,City,"[8000, 10000[",11.9,66360.0,0.30000000000000004,0.7,9000.0
66,1772,Utah,City,"[8000, 10000[",8.9,83670.0,0.30000000000000004,0.5,9000.0
67,5604,California,Suburb,"[12000, 14000[",11.8,77358.0,0.1,0.1,13000.0
68,9007,Arizona,City,"[8000, 10000[",13.5,66628.0,0.9,0.5,9000.0
69,8884,Texas,City,"[8000, 10000[",13.6,68093.0,0.7,0.5,9000.0
71,1712,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.5,0.5,13000.0
72,3412,California,City,"[12000, 14000[",11.8,77358.0,0.7,0.5,13000.0
77,2940,New York,Suburb,"[14000, 16000[",13.0,68304.0,0.1,0.30000000000000004,15000.0
78,5042,Illinois,Town,"[10000, 12000[",11.5,73753.0,0.30000000000000004,0.9,11000.0
79,3692,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.1,0.5,9000.0
80,4683,Texas,Suburb,"[8000, 10000[",13.6,68093.0,0.5,0.5,9000.0
82,2567,Washington,Suburb,"[12000, 14000[",9.8,81083.0,0.1,0.30000000000000004,13000.0
83,2321,California,Rural,"[12000, 14000[",11.8,77358.0,0.1,0.1,13000.0
84,7767,North Carolina,City,"[10000, 12000[",13.6,60266.0,0.5,0.7,11000.0
85,7308,Utah,Suburb,"[4000, 6000[",8.9,83670.0,0.1,0.30000000000000004,5000.0
86,5006,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
87,9140,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
89,8902,Wisconsin,Suburb,"[10000, 12000[",10.4,67094.0,0.1,0.30000000000000004,11000.0
90,5890,Illinois,Suburb,"[18000, 20000[",11.5,73753.0,0.30000000000000004,0.30000000000000004,19000.0
91,4031,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.30000000000000004,0.5,21000.0
93,6640,Tennessee,Suburb,"[8000, 10000[",13.9,54665.0,0.1,0.5,9000.0
94,6194,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
95,3864,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
97,2598,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
98,5600,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
99,2991,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
102,2106,California,Suburb,"[12000, 14000[",11.8,77358.0,0.30000000000000004,0.1,13000.0
104,6919,Florida,Suburb,"[6000, 8000[",12.7,57435.0,0.5,0.5,7000.0
105,7980,Virginia,Rural,"[10000, 12000[",9.9,81947.0,0.1,0.5,11000.0
108,2060,Ohio,City,"[12000, 14000[",13.1,60110.0,0.5,0.5,13000.0
109,7387,Utah,City,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
111,1000,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.7,0.30000000000000004,21000.0
112,5150,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.30000000000000004,13000.0
113,2956,Missouri,City,"[8000, 10000[",12.9,61901.0,0.1,0.5,9000.0
114,9553,Illinois,Suburb,"[14000, 16000[",11.5,73753.0,0.1,0.1,15000.0
115,1536,Indiana,Rural,"[8000, 10000[",11.9,66360.0,0.1,0.5,9000.0
116,8937,Illinois,Rural,"[12000, 14000[",11.5,73753.0,0.1,0.1,13000.0
117,1791,Virginia,City,"[10000, 12000[",9.9,81947.0,0.7,0.7,11000.0
118,4516,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.5,0.5,21000.0
119,2872,North Dakota,Rural,"[12000, 14000[",10.6,63657.0,0.1,0.1,13000.0
120,2439,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
121,8520,New York,Rural,"[16000, 18000[",13.0,68304.0,0.1,0.30000000000000004,17000.0
122,2130,Washington,Suburb,"[14000, 16000[",9.8,81083.0,0.5,0.7,15000.0
123,3772,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.1,0.30000000000000004,9000.0
124,4775,New York,Suburb,"[16000, 18000[",13.0,68304.0,0.1,0.30000000000000004,17000.0
126,9778,Utah,Town,"[8000, 10000[",8.9,83670.0,0.1,0.5,9000.0
127,5524,Massachusetts,Rural,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
128,1470,New York,Rural,"[32000, 34000[",13.0,68304.0,0.1,0.5,33000.0
129,5802,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.5,21000.0
130,1324,Indiana,Rural,"[8000, 10000[",11.9,66360.0,0.1,0.5,9000.0
131,3160,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.1,0.30000000000000004,9000.0
132,2393,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.1,0.1,13000.0
134,9230,Utah,Rural,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
135,3248,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.7,0.7,13000.0
137,8556,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
139,5627,Indiana,Rural,"[8000, 10000[",11.9,66360.0,0.1,0.5,9000.0
140,4550,California,City,"[12000, 14000[",11.8,77358.0,0.9,0.7,13000.0
141,7752,Wisconsin,Suburb,"[10000, 12000[",10.4,67094.0,0.1,0.1,11000.0
142,2729,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
144,4348,Missouri,Suburb,"[8000, 10000[",12.9,61901.0,0.1,0.30000000000000004,9000.0
145,3986,Massachusetts,Rural,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
146,9537,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
147,1052,Illinois,Suburb,"[16000, 18000[",11.5,73753.0,0.30000000000000004,0.30000000000000004,17000.0
148,6762,Utah,Suburb,"[4000, 6000[",8.9,83670.0,0.1,0.1,5000.0
150,3670,Ohio,Rural,"[12000, 14000[",13.1,60110.0,0.1,0.5,13000.0
151,1204,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.1,7000.0
152,2870,Indiana,Suburb,"[8000, 10000[",11.9,66360.0,0.9,0.7,9000.0
154,3558,North Carolina,Suburb,"[8000, 10000[",13.6,60266.0,0.30000000000000004,0.30000000000000004,9000.0
157,1450,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
158,3080,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.30000000000000004,0.30000000000000004,17000.0
160,2517,Massachusetts,Suburb,"[18000, 20000[",9.4,86725.0,0.1,0.30000000000000004,19000.0
161,1570,California,Suburb,"[12000, 14000[",11.8,77358.0,0.30000000000000004,0.30000000000000004,13000.0
163,4668,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
165,6055,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
169,2285,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.1,0.5,13000.0
170,2172,California,City,"[12000, 14000[",11.8,77358.0,0.1,0.1,13000.0
171,7741,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
172,6998,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
173,3322,California,City,"[12000, 14000[",11.8,77358.0,0.1,0.1,13000.0
175,4083,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
176,3936,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
177,7675,Massachusetts,Suburb,"[20000, 22000[",9.4,86725.0,0.1,0.30000000000000004,21000.0
178,4744,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.30000000000000004,0.30000000000000004,9000.0
179,9478,Ohio,Town,"[12000, 14000[",13.1,60110.0,0.1,0.1,13000.0
180,7541,Utah,Suburb,"[8000, 10000[",8.9,83670.0,0.30000000000000004,0.30000000000000004,9000.0
183,1270,Utah,Rural,"[8000, 10000[",8.9,83670.0,0.1,0.5,9000.0
184,8076,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.30000000000000004,21000.0
188,6345,Massachusetts,Suburb,"[12000, 14000[",9.4,86725.0,0.30000000000000004,0.30000000000000004,13000.0
191,4183,Utah,Town,"[8000, 10000[",8.9,83670.0,0.1,0.5,9000.0
192,9357,California,City,"[12000, 14000[",11.8,77358.0,0.5,0.30000000000000004,13000.0
194,5510,Washington,City,"[14000, 16000[",9.8,81083.0,0.30000000000000004,0.5,15000.0
195,6104,Ohio,Suburb,"[12000, 14000[",13.1,60110.0,0.30000000000000004,0.30000000000000004,13000.0
196,3228,Indiana,Town,"[8000, 10000[",11.9,66360.0,0.1,0.5,9000.0
197,5422,Missouri,Town,"[8000, 10000[",12.9,61901.0,0.1,0.30000000000000004,9000.0
198,8127,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.30000000000000004,0.30000000000000004,21000.0
200,3640,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
201,8256,New Jersey,Suburb,"[14000, 16000[",9.2,85239.0,0.1,0.1,15000.0
202,1857,New Hampshire,Rural,"[16000, 18000[",7.3,88235.0,0.1,0.30000000000000004,17000.0
203,5479,District Of Columbia,City,"[18000, 20000[",13.5,88311.0,0.9,0.7,19000.0
204,3314,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
205,8748,Massachusetts,City,"[18000, 20000[",9.4,86725.0,0.1,0.30000000000000004,19000.0
206,4373,Utah,City,"[8000, 10000[",8.9,83670.0,0.1,0.1,9000.0
207,7342,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
208,6046,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
209,7723,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.5,0.30000000000000004,15000.0
211,5934,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
212,9927,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
213,2441,Utah,Town,"[8000, 10000[",8.9,83670.0,0.1,0.30000000000000004,9000.0
214,6144,Michigan,Suburb,"[10000, 12000[",13.0,63829.0,0.5,0.7,11000.0
217,4314,New Hampshire,Rural,"[16000, 18000[",7.3,88235.0,0.1,0.30000000000000004,17000.0
218,9536,New York,City,"[24000, 26000[",13.0,68304.0,0.9,0.9,25000.0
219,6512,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
220,3732,Michigan,Suburb,"[12000, 14000[",13.0,63829.0,0.5,0.5,13000.0
221,2201,Connecticut,City,"[20000, 22000[",10.0,79043.0,0.5,0.5,21000.0
223,9303,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
224,3266,Utah,Town,"[10000, 12000[",8.9,83670.0,0.1,0.5,11000.0
225,1965,Massachusetts,Suburb,"[22000, 24000[",9.4,86725.0,0.1,0.30000000000000004,23000.0
226,5882,Massachusetts,Suburb,"[14000, 16000[",9.4,86725.0,0.1,0.30000000000000004,15000.0
227,1705,Washington,City,"[12000, 14000[",9.8,81083.0,0.30000000000000004,0.5,13000.0
228,9515,New York,Rural,"[18000, 20000[",13.0,68304.0,0.1,0.5,19000.0
229,8103,Tennessee,Rural,"[8000, 10000[",13.9,54665.0,0.30000000000000004,0.5,9000.0
230,4929,Virginia,Rural,"[12000, 14000[",9.9,81947.0,0.1,0.5,13000.0
231,7975,California,City,"[12000, 14000[",11.8,77358.0,0.7,0.7,13000.0
232,7164,California,City,"[12000, 14000[",11.8,77358.0,0.7,0.7,13000.0
