,LP ID,URL,Product Name,Provider/Company Name,Sector(s),Primary Essential Function,Category,Sub_Category
14,55589,http://www.brainpop.com/,BrainPOP,BrainPOP LLC,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
15,84652,http://www.ck12.org,CK-12,CK-12 Foundation,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
16,16633,http://www.cnn.com/cnn10,CNN Student News,Cable News Network,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
17,47364,https://www.canvas.net/,Canvas,"Instructure, Inc. ",PreK-12; Higher Ed; Corporate,LC - Online Course Providers & Technical Skills Development,LC , Online Course Providers & Technical Skills Development
18,50104,http://www.chegg.com/,Chegg,Chegg,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
19,47267,http://www.classdojo.com/,ClassDojo,"ClassDojo, Inc.",PreK-12,CM - Classroom Engagement & Instruction - Communication & Messaging,CM , Classroom Engagement & Instruction 
20,76649,https://clever.com/,Clever,Clever,PreK-12,SDO - School Management Software - SSO,SDO , School Management Software 
21,96116,http://www.cliffsnotes.com,CliffsNotes,Houghton Mifflin Harcourt,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
22,85975,http://www.code.org,Code.org,Code.org,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
23,94158,http://www.coolmath.com,CoolMath,Constructive Media,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
24,64947,http://www.desmos.com,Desmos,Desmos,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
25,15225,http://www.merriam-webster.com/,Dictionary - Merriam-Webster,Merriam-Webster,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Thesaurus & Dictionary",LC ,"Sites, Resources & References"
26,14168,http://dictionary.com,Dictionary.com,Dictionary.com,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Thesaurus & Dictionary",LC ,"Sites, Resources & References"
27,28633,http://www.discoveryeducation.com/,Discovery Education,Discovery Communications,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
28,71279,http://www.dreambox.com/,DreamBox,Dreambox Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
29,98001,http://www.dropbox.com,Dropbox,Dropbox,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
30,43491,http://duolingo.com/,Duolingo,Duolingo,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms,LC , Digital Learning Platforms
31,35971,http://www.edpuzzle.com/,Edpuzzle,EDpuzzle Inc.,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
32,50712,http://earthquake.usgs.gov/learn/kids/,Earthquakes for Kids,US Geological Survey,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
33,57724,http://www.easybib.com/,EasyBib,Imagine Easy Solutions,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
34,95253,http://www.edgenuity.com/,Edgenuity,Edgenuity Inc.,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms,LC , Digital Learning Platforms
35,56695,http://ellevationeducation.com/,Ellevation,Ellevation,PreK-12,"SDO - Data, Analytics & Reporting",SDO ,"Data, Analytics & Reporting"
36,54430,http://www.britannica.com/,Encyclopedia Britannica,"Encyclopaedia Britannica, Inc.",PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Encyclopedia",LC ,"Sites, Resources & References"
37,26970,https://www.engageny.org/,EngageNY,New York State Education Department,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
38,98402,https://www.reflexmath.com/,Reflex Math,"ExploreLearning, LLC",PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
39,13983,http://www.facebook.com/,Facebook,Facebook,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
40,19044,https://fligprid.com,Flipgrid,Flipgrid,PreK-12,LC - Content Creation & Curation,LC , Content Creation & Curation
41,16753,http://www.flocabulary.com/,Flocabulary,Flocabulary,PreK-12; Higher Ed,LC - Digital Learning Platforms,LC , Digital Learning Platforms
42,83076,http://www.geogebra.org,GeoGebra,GeoGebra,PreK-12,LC - Study Tools,LC ,Study Tools
43,23927,https://goguardian.com/,GoGuardian,GoGuardian,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
44,86703,https://www.gonoodle.com/,GoNoodle,HealthTeacher,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
45,77698,http://www.goodreads.com,Goodreads,Goodreads,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
46,72713,http://www.google.com/books,Google Books,Google LLC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
47,30851,https://www.google.com/chrome/,Google Chrome,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
48,95731,http://docs.google.com/,Google Docs,Google LLC,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
49,99916,https://drive.google.com/start,Google Drive,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
50,11206,http://www.google.com/earth/,Google Earth,Google LLC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
51,33185,http://www.google.com/forms/about/,Google Forms,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Assessment & Classroom Response,CM , Classroom Engagement & Instruction 
52,48333,https://hangouts.google.com/,Google Hangouts,Google LLC,PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing,CM , Virtual Classroom 
53,69827,http://sites.google.com/,Google Sites,Google LLC,PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing",SDO ,"Data, Analytics & Reporting"
54,16406,http://translate.google.com/,Google Translate,Google LLC,PreK-12; Higher Ed; Corporate,LC - Study Tools,LC ,Study Tools
55,21917,https://voice.google.com,Google Voice,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Communication & Messaging,CM , Classroom Engagement & Instruction 
56,52448,http://plus.google.com/,Google Currents,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Communication & Messaging,CM , Classroom Engagement & Instruction 
57,51340,https://www.grammarly.com/,Grammarly,Grammarly,PreK-12; Higher Ed; Corporate,LC - Study Tools,LC ,Study Tools
58,95767,http://hapara.com/,Hapara,Hapara,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
59,33624,http://www.howstuffworks.com/,HowStuffWorks,HowStuffWorks,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
60,80616,https://www.ixl.com/math/,IXL Math,IXL Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
61,33562,http://www.ixl.com/,IXL Language,IXL Learning,,,,
62,35007,http://www.imaginelearning.com/,Imagine Learning,Imagine Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
63,72784,http://www.infinitecampus.com/,Infinite Campus,Infinite Campus,PreK-12,"SDO - Data, Analytics & Reporting - Student Information Systems (SIS)",SDO ,"Data, Analytics & Reporting"
64,18904,http://www.instructables.com/,Instructables," Autodesk, Inc",PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
65,50762,http://archive.org/,Internet Archive,The Internet Archive,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
66,59257,http://www.issuu.com,Issuu,Issuu,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
67,26881,http://www.istation.com,iStation,Istation,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
68,84217,http://blogs.kqed.org/education/e-books/,KQED E-books,KQED,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
69,24711,https://kahoot.it,Kahoot!,Kahoot! AS,PreK-12; Higher Ed; Corporate,LC - Study Tools,LC ,Study Tools
70,29322,http://www.khanacademy.org,Khan Academy,Khan Academy,PreK-12; Higher Ed,LC - Digital Learning Platforms,LC , Digital Learning Platforms
71,52175,http://www.washingtonpost.com/lifestyle/kidspost,The Washington Post KidsPost,Washington Post,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
72,30025,http://www.learnzillion.com/,LearnZillion,LearnZillion,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
73,29921,http://www.learninga-z.com/index.html,Learning A-Z,Learning A-Z,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
74,25559,http://www.lexialearning.com/,Lexia Core5 Reading,Lexia Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
75,10650,http://www.loc.gov,Library of Congress,Library of Congress,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
76,41587,http://www.linkedin.com,LinkedIn,LinkedIn,PreK-12; Higher Ed; Corporate,LC - Career Planning & Job Search,LC , Career Planning & Job Search
77,36102,https://littlealchemy.com/,Little Alchemy,Jakub Koziol,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
78,94954,https://www.masteryconnect.com/,MasteryConnect,MasteryConnect,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
79,92867,http://www.mathplayground.com,Math Playground,Math Playground,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
80,57949,https://mathway.com/mobile,Mathway,Mathway,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
81,81127,http://spaceplace.nasa.gov,NASA's Space Place,NASA,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
82,16468,http://www.archives.gov/,National Archives,United States National Archives,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
83,55031,https://nearpod.com/,Nearpod,Nearpod Inc.,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
84,97280,http://www.newsela.com,Newsela,Newsela,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
85,62934,http://www.noredink.com/,NoRedInk,NoRedInk,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
86,19181,http://noodletools.com/,NoodleTools,NoodleTools,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
87,26372,https://www.overdrive.com/,OverDrive Education,OverDrive,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
88,51853,http://pbskids.org/,PBS Kids,PBS,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
89,86575,http://www.pbslearningmedia.org/,PBS LearningMedia,PBS,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
90,73101,http://padlet.com/,Padlet,Padlet,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
91,44853,https://www.panoramaed.com/,Panorama Education,Panorama Education,PreK-12,SDO - Human Resources,SDO , Human Resources
92,90440,https://www.pebblego.com/login.php,PebbleGo,Capstone,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
93,37017,https://pixlr.com/,Pixlr,Pixlr,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
94,92871,https://www.powerschool.com/,PowerSchool,PowerSchool Group LLC,PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Student Information Systems (SIS)",SDO ,"Data, Analytics & Reporting"
95,65358,http://www.prezi.com,Prezi,Prezi Inc.,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
96,64948,https://prodigygame.com/,Prodigy,SMARTeacher Inc.,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
97,49570,http://www.ptable.com/,Ptable,Michael Dayah,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
98,23483,http://owl.english.purdue.edu/,Purdue Online Writing Lab,Online Writing Lab,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
99,49062,http://www.quia.com/web,Quia Web,IXL Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
100,20594,http://www.quill.org/,Quill,Quill.org,PreK-12,LC - Study Tools,LC ,Study Tools
101,98265,http://quizlet.com/,Quizlet,Quizlet,PreK-12,LC - Study Tools,LC ,Study Tools
102,80144,https://www.quora.com/,Quora,Quora,PreK-12; Higher Ed; Corporate,LC - Study Tools - Q&A,LC ,Study Tools
103,83862,http://www.raz-kids.com/,Raz-Kids,Learning A-Z,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
104,64915,http://www.readworks.org/,ReadWorks,ReadWorks,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
105,55355,http://www.readwritethink.org/,ReadWriteThink,ReadWriteThink.org,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
106,84007,http://www.readinga-z.com,Reading A-Z,Learning A-Z,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
107,95859,http://remind.com/,Remind,Remind101,PreK-12,CM - Classroom Engagement & Instruction - Communication & Messaging,CM , Classroom Engagement & Instruction 
108,64998,http://web.stmath.com/,ST Math,MIND Research Institute,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
109,56218,http://www.schoolloop.com/,School Loop,School Loop,PreK-12,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing",SDO ,"Data, Analytics & Reporting"
110,49094,http://www.schooltube.com/,SchoolTube,SchoolTube,PreK-12; Higher Ed,CM - Classroom Engagement & Instruction - Classroom Management,CM , Classroom Engagement & Instruction 
111,54550,http://www.schoolnet.com/,Schoolnet,Savvas Learning Company | Formerly Pearson K12 Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
112,20069,http://www.schoology.com/,Schoology,Schoology,PreK-12,SDO - Learning Management Systems (LMS),SDO , Learning Management Systems (LMS)
113,93256,http://www.nature.com/scitable,Scitable,"Nature America, Inc",PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
114,71805,http://scratch.mit.edu/,Scratch,MIT Media Lab,PreK-12,LC - Content Creation & Curation,LC , Content Creation & Curation
115,50580,http://securly.com/,Securly Anywhere Filter,Securly Inc ,PreK-12,SDO - School Management Software - Mobile Device Management,SDO , School Management Software 
116,56028,http://www.shmoop.com,Shmoop,"Shmoop University, Inc",PreK-12,LC - Study Tools,LC ,Study Tools
117,12803,http://www.slideshare.net/,SlideShare,LinkedIn,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
118,30593,http://www.socrative.com/,Socrative,Showbie Inc ,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
119,54827,http://www.soundcloud.com,SoundCloud,SoundCloud,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services",LC ,"Sites, Resources & References"
120,85072,http://www.space.com/,Space.com,Purch,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
121,49751,http://www.sparknotes.com,SparkNotes,SparkNotes,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
122,55450,https://apps.apple.com/us/app/spotify-music-and-podcasts/id324684580?ign-mpt=uo%3D4,Spotify: Music and podcasts,Spotify Ltd,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services",LC ,"Sites, Resources & References"
123,64838,http://www.starfall.com/,Starfall,Starfall Education,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
124,39841,http://studyjams.scholastic.com,StudyJams!,Scholastic Inc,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
125,58986,http://www.tolerance.org/,Learning for Justice,Southern Poverty Law Center,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
126,94264,http://www.physicsclassroom.com/,The Physics Classroom,"Physics Classroom, LLC",PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
127,86059,http://thesaurus.com/,Thesaurus.com,Dictionary.com,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Thesaurus & Dictionary",LC ,"Sites, Resources & References"
128,78586,http://www.thinglink.com,ThingLink,ThingLink,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
129,14124,http://www.tumblr.com/,Tumblr,Tumblr ,PreK-12; Higher Ed,LC/CM/SDO - Other,LC/CM/SDO , Other
130,73323,http://turnitin.com/,Turnitin,Turnitin,PreK-12; Higher Ed,CM - Teacher Resources - Grading & Attendance,CM , Teacher Resources 
131,41581,http://www.tynker.com/,Tynker,Neuron Fuel,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
132,93742,http://www.typingclub.com,TypingClub,TypingClub,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms,LC , Digital Learning Platforms
133,75451,http://www.ushmm.org/,United States Holocaust Memorial Museum,US Holocaust Museum,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
134,26753,http://vimeo.com/,Vimeo,Vimeo,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
135,14769,http://www.spellingcity.com/,Vocabulary Spelling City,VocabularySpellingCity,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
136,94324,http://www.wevideo.com/education,WeVideo for Schools,"WeVideo, Inc.",PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
137,32050,https://www.webex.com/,WebEx,Cisco,PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing,CM , Virtual Classroom 
138,13699,http://www.weebly.com,Weebly,Weebly,Corporate,"SDO - Data, Analytics & Reporting",SDO ,"Data, Analytics & Reporting"
139,68490,http://commons.wikimedia.org/,Wikimedia Commons,The Wikimedia Foundation,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Digital Collection & Repository",LC ,"Sites, Resources & References"
140,13496,http://www.wikipedia.org/,Wikipedia,The Wikimedia Foundation,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Encyclopedia",LC ,"Sites, Resources & References"
141,25793,http://www.wix.com/,Wix,"Wix.com, Inc",PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing",SDO ,"Data, Analytics & Reporting"
142,69429,http://wordpress.com/,WordPress,WordPress,PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing",SDO ,"Data, Analytics & Reporting"
143,24744,http://worldbookonline.com/,World Book Online,"World Book, Inc",PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Encyclopedia",LC ,"Sites, Resources & References"
144,11406,http://www.wyzant.com,WyzAnt,WyzAnt,PreK-12,LC - Study Tools - Tutoring,LC ,Study Tools
145,61384,http://www.xtramath.org/,XtraMath,XtraMath,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
146,83394,https://www.yelp.com/,Yelp,"Yelp, Inc",,,,
147,61292,http://www.youtube.com,YouTube,Google LLC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services",LC ,"Sites, Resources & References"
148,93690,http://www.calculator.com,Calculator.com,Calculator.com,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
149,61441,http://www.i-ready.com/,i-Ready,Curriculum Associates,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
150,17182,http://www.icivics.org/,iCivics,iCivics Inc,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
151,50724,https://www.myon.com/index.html,myON Reader,Renaissance Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
152,54794,https://www.ets.org/,MAPP,Educational Testing Service,PreK-12; Higher Ed; Corporate,SDO - Large-Scale & Standardized Testing,SDO , Large
153,63335,https://www.mathgames.com/,Math Games (MathGames),TeachMe,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
154,57343,http://goformative.com/,Formative,Formative,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
155,40928,https://www.peardeck.com/,Pear Deck,Pear Deck,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
156,58235,http://ed.ted.com/,TedEd,TED Conferences,PreK-12; Higher Ed,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
157,32213,https://classroom.google.com,Google Classroom,Google LLC,PreK-12; Higher Ed; Corporate,SDO - Learning Management Systems (LMS),SDO , Learning Management Systems (LMS)
158,63178,http://www.learnplatform.com/,LearnPlatform,Lea(R)n,,,,
159,26696,https://www.surveymonkey.com/,SurveyMonkey,SurveyMonkey,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Assessment & Classroom Response,CM , Classroom Engagement & Instruction 
160,49571,http://www.education.com/,Education.com,Education.com,PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
161,25585,http://www.heinemann.com/fountasandpinnell/lli_overview.aspx,Leveled Literacy Intervention,Houghton Mifflin Harcourt,PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
162,59304,http://www.weareteachers.com/,WeAreTeachers,WeAreTeachers,PreK-12,CM - Teacher Resources - Lesson Planning,CM , Teacher Resources 
163,78662,https://www.teachervision.com/,TeacherVision,Sandbox Networks,PreK-12,CM - Teacher Resources - Lesson Planning,CM , Teacher Resources 
164,65277,https://www.teacherspayteachers.com/,TeachersPayTeachers,TEACHERSPAYTEACHERS,PreK-12,CM - Teacher Resources - Lesson Planning,CM , Teacher Resources 
165,34887,http://www.naviance.com/,Naviance,Hobsons,PreK-12,LC - Career Planning & Job Search,LC , Career Planning & Job Search
166,91030,http://brainly.com/,Brainly,Brainly,PreK-12,LC - Study Tools - Q&A,LC ,Study Tools
167,78063,https://www.classlink.com/,ClassLink,ClassLink,PreK-12; Higher Ed,SDO - School Management Software - SSO,SDO , School Management Software 
168,35237,http://www.sharpschool.com/,Sharp School,SharpSchool,PreK-12,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing",SDO ,"Data, Analytics & Reporting"
169,37153,https://www.zearn.org/,Zearn,Zearn,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
170,67035,http://www.commonlit.org/,CommonLit,CommonLit,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
171,76229,http://www.readtheory.org/,Read Theory,Read Theory,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
172,52615,http://mysteryscience.com/,Mystery Science,"Mystery Science, Inc",PreK-12,"LC - Sites, Resources & Reference",LC ,"Sites, Resources & References"
173,24120,http://www.edulastic.com/,Edulastic,Edulastic,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
174,32340,http://genius.com/static/education,Education Genius,Genius Media Group,,,,
175,55032,http://www.ascd.org/professional-development.aspx,ASCD Professional Development Tools,Association for Supervision and Curriculum Development,PreK-12,CM - Teacher Resources - Professional Learning,CM , Teacher Resources 
176,50692,https://www.schoolmessenger.com,SchoolMessenger,West Corporation,PreK-12,CM - Classroom Engagement & Instruction - Communication & Messaging,CM , Classroom Engagement & Instruction 
177,73952,http://www.mheducation.com,McGraw-Hill Education,McGraw-Hill PreK-12,PreK-12; Higher Ed,LC - Courseware & Textbooks,LC , Courseware & Textbooks
178,81236,https://www.box.com/,Box,Box,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other,LC/CM/SDO , Other
179,28525,https://www.renaissance.com,Renaissance Learning,Renaissance Learning,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
180,71275,http://wistia.com/,Wistia,Wistia,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
181,67431,http://www.autodesk.com,Autodesk," Autodesk, Inc",PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation,LC , Content Creation & Curation
182,43149,http://contentkeeper.com/,ContentKeeper,ContentKeeper Technologies,PreK-12; Higher Ed; Corporate,SDO - School Management Software - Mobile Device Management,SDO , School Management Software 
183,85991,http://www.microsoft.com/en-us/education/products/office/default.aspx,Microsoft Office 365,Microsoft,,,,
184,57293,http://www.worldcampus.psu.edu,Penn State World Campus,The Pennsylvania State Universtity,PreK-12; Higher Ed,LC - Online Course Providers & Technical Skills Development,LC , Online Course Providers & Technical Skills Development
185,85682,http://www.qualtrics.com,Qualtrics,Qualtrics,Higher Ed; Corporate,"SDO - Data, Analytics & Reporting",SDO ,"Data, Analytics & Reporting"
186,10533,http://www.scholastic.com,Scholastic,Scholastic Inc,PreK-12,"LC - Sites, Resources & References - Learning Materials & Supplies",LC ,"Sites, Resources & References"
187,88885,http://lumenlearning.com/,Lumen Learning,Lumen Learning,PreK-12; Higher Ed; Corporate,LC - Online Course Providers & Technical Skills Development,LC , Online Course Providers & Technical Skills Development
